月份,央行逆回购净投放 (RMB bn),MLF净投放 (RMB bn),存款准备金率调整 (%),1年期LPR (%),5年期以上LPR (%)
2015-01,0,0,0,5.60,6.00
2015-02,0,0,0,5.60,6.00
2015-03,0,0,0,5.60,6.00
2015-04,0,0,-1.00,5.60,6.00
2015-05,0,0,0,5.60,6.00
2015-06,0,0,0,5.60,6.00
2015-07,0,0,0,5.60,6.00
2015-08,0,0,0,5.60,6.00
2015-09,0,0,0,5.60,6.00
2015-10,0,0,0,5.60,6.00
2015-11,0,0,0,5.60,6.00
2015-12,0,0,0,5.60,6.00
2016-01,0,0,0,4.35,4.90
2016-02,0,0,-0.50,4.35,4.90
2016-03,0,0,0,4.35,4.90
2016-04,0,0,0,4.35,4.90
2016-05,0,0,0,4.35,4.90
2016-06,0,0,0,4.35,4.90
2016-07,0,0,0,4.35,4.90
2016-08,0,0,0,4.35,4.90
2016-09,0,0,0,4.35,4.90
2016-10,0,0,0,4.35,4.90
2016-11,0,0,0,4.35,4.90
2016-12,0,0,0,4.35,4.90
2017-01,0,0,0,4.35,4.90
2017-02,0,0,0,4.35,4.90
2017-03,0,0,0,4.35,4.90
2017-04,0,0,0,4.35,4.90
2017-05,0,0,0,4.35,4.90
2017-06,0,0,0,4.35,4.90
2017-07,0,0,0,4.35,4.90
2017-08,0,0,0,4.35,4.90
2017-09,0,0,0,4.35,4.90
2017-10,0,0,0,4.35,4.90
2017-11,0,0,0,4.35,4.90
2017-12,0,0,0,4.35,4.90
2018-01,0,0,0,4.52,4.90
2018-02,0,0,0,4.52,4.90
2018-03,0,0,0,4.52,4.90
2018-04,0,0,0,4.52,4.90
2018-05,0,0,0,4.52,4.90
2018-06,0,0,0,4.52,4.90
2018-07,0,0,0,4.52,4.90
2018-08,0,0,0,4.52,4.90
2018-09,0,0,0,4.52,4.90
2018-10,0,0,0,4.52,4.90
2018-11,0,0,0,4.52,4.90
2018-12,0,0,0,4.52,4.90
2019-01,0,0,0,4.52,4.90
2019-02,0,0,0,4.52,4.90
2019-03,0,0,0,4.52,4.90
2019-04,0,0,0,4.52,4.90
2019-05,0,0,0,4.52,4.90
2019-06,0,0,0,4.52,4.90
2019-07,0,0,0,4.52,4.90
2019-08,0,0,0,4.52,4.90
2019-09,0,0,0,4.31,4.85
2019-10,0,0,0,4.20,4.65
2019-11,0,0,0,4.15,4.80
2019-12,0,0,0,4.15,4.80
2020-01,0,0,0,4.15,4.75
2020-02,0,0,0,4.05,4.75
2020-03,0,0,0,4.05,4.75
2020-04,0,0,0,3.85,4.65
2020-05,0,0,0,3.85,4.65
2020-06,0,0,0,3.85,4.65
2020-07,0,0,0,3.85,4.65
2020-08,0,0,0,3.85,4.65
2020-09,0,0,0,3.85,4.65
2020-10,0,0,0,3.85,4.65
2020-11,0,0,0,3.85,4.65
2020-12,0,0,0,3.85,4.65
2021-01,0,0,0,3.85,4.65
2021-02,0,0,0,3.85,4.65
2021-03,0,0,0,3.85,4.65
2021-04,0,0,0,3.85,4.65
2021-05,0,0,0,3.85,4.65
2021-06,0,0,0,3.85,4.65
2021-07,0,0,0,3.85,4.65
2021-08,0,0,0,3.85,4.65
2021-09,0,0,0,3.85,4.65
2021-10,0,0,0,3.85,4.65
2021-11,0,0,0,3.85,4.65
2021-12,0,0,0,3.85,4.65
2022-01,0,0,0,3.70,4.60
2022-02,0,0,0,3.70,4.60
2022-03,0,0,0,3.70,4.60
2022-04,0,0,0,3.70,4.60
2022-05,0,0,0,3.70,4.60
2022-06,0,0,0,3.70,4.60
2022-07,0,0,0,3.70,4.60
2022-08,0,0,0,3.65,4.30
2022-09,0,0,0,3.65,4.30
2022-10,0,0,0,3.65,4.30
2022-11,0,0,0,3.65,4.30
2022-12,0,0,0,3.65,4.30
2023-01,0,0,0,3.65,4.30
2023-02,0,0,0,3.65,4.30
2023-03,0,0,0,3.65,4.30
2023-04,0,0,0,3.65,4.30
2023-05,0,0,0,3.65,4.30
2023-06,0,0,0,3.65,4.30
2023-07,0,0,0,3.55,4.20
2023-08,0,0,0,3.55,4.20
2023-09,0,0,-0.25,3.45,4.20
2023-10,0,0,0,3.45,4.20
2023-11,0,0,0,3.45,4.20
2023-12,0,0,0,3.45,4.20
2024-01,0,0,0,3.45,3.95
2024-02,0,0,0,3.45,3.95
2024-03,0,0,0,3.45,3.95
2024-04,0,0,0,3.45,3.95
2024-05,0,0,0,3.45,3.95
2024-06,0,0,0,3.45,3.95
2024-07,0,0,0,3.45,3.95
2024-08,0,0,0,3.45,3.95
2024-09,0,0,0,3.45,3.95
2024-10,0,0,0,3.45,3.95
2024-11,0,0,0,3.45,3.95
2024-12,0,0,0,3.45,3.95
2025-01,1980,-2000,0,3.45,3.95
2025-02,2000,-2000,0,3.45,3.95
2025-03,630,630,0,3.10,3.60
2025-04,5000,5000,0,3.10,3.60
2025-05,3750,3750,-0.50,3.00,3.50
2025-06,2000,1180,0,3.00,3.50
